date,adj_close,close,high,low,open,volume,sma_20,sma_50,ema_12,ema_26,macd,signal_line,rsi_14,bb_mid,bb_upper,bb_lower,daily_return_%
1997-10-03,3847.72998046875,3847.72998046875,3923.260009765625,3833.919921875,3907.219970703125,0,3933.613525390625,4106.30640625,3897.501250898495,3960.407432276673,-62.906181378177735,-72.23553714783264,35.4304705694872,3933.613525390625,4114.281340804198,3752.945709977052,-1.4794490131224247
1997-10-06,3857.340087890625,3857.340087890625,3862.169921875,3829.050048828125,3850.35009765625,0,3924.863024902344,4099.727407226563,3891.322610435746,3952.772814174002,-61.45020373825673,-70.07847046591746,33.75425298416799,3924.863024902344,4102.3195483483805,3747.4065014563066,0.2497604424077648
1997-10-07,3909.4599609375,3909.4599609375,3910.330078125,3845.7099609375,3851.93994140625,0,3915.9710205078127,4092.8940087890624,3894.1129720514,3949.5644546750023,-55.45148262360272,-67.1530728974545,40.48702908743526,3915.9710205078127,4076.1363935537424,3755.805647461883,1.35118687643061
1997-10-08,3930.22998046875,3930.22998046875,3940.530029296875,3912.39990234375,3912.39990234375,0,3910.905017089844,4086.971206054688,3899.669434884838,3948.1322714004655,-48.46283651562726,-63.41502562108906,50.198501975836926,3910.905017089844,4061.82013109912,3759.989903080567,0.5312759240094556
1997-10-09,3979.9599609375,3979.9599609375,3982.43994140625,3917.389892578125,3927.85009765625,0,3907.622509765625,4082.774204101562,3912.021823508325,3950.489878032839,-38.46805452451372,-58.425631401774,59.81886258759962,3907.622509765625,4048.7388425849863,3766.506176946264,1.2653198595472317
1997-10-10,4057.3701171875,4057.3701171875,4083.989990234375,3999.64990234375,3999.64990234375,0,3909.987512207031,4080.2920068359376,3934.383099458967,3958.406932785036,-24.0238333260686,-51.54527178663293,73.10990185599067,3909.987512207031,4059.659167598092,3760.3158568159706,1.9449983670631
1997-10-13,4066.050048828125,4066.050048828125,4118.919921875,4056.47998046875,4093.919921875,0,3913.493017578125,4077.26140625,3954.6395532080687,3966.380496936376,-11.740943728306776,-43.5844061749677,82.27945402759349,3913.493017578125,4074.496152509261,3752.489882646989,0.2139299938118899
1997-10-14,4012.39990234375,4012.39990234375,4062.81005859375,4011.110107421875,4061.510009765625,0,3913.1920166015625,4072.6116015625,3963.525760767404,3969.789341781367,-6.263581013962721,-36.1202411427667,70.683259530176,3913.1920166015625,4073.3896902168494,3752.994342986276,-1.319465964267641
1997-10-15,4034.550048828125,4034.550048828125,4042.68994140625,3999.139892578125,4015.550048828125,0,3914.2900146484376,4067.1874072265614,3974.452574315207,3974.586431192238,-0.1338568770306665,-28.922964289619497,71.82791656151886,3914.2900146484376,4077.626498416737,3750.953530880138,0.552042344319581
1997-10-16,4077.050048828125,4077.050048828125,4090.510009765625,4046.469970703125,4082.659912109375,0,3921.7260131835938,4061.78201171875,3990.236801163349,3982.176328794896,8.060472368452338,-21.52627695800513,70.65194774370809,3921.7260131835938,4100.559753539479,3742.892272827709,1.053401233982565
1997-10-17,4106.259765625,4106.259765625,4137.77001953125,4095.699951171875,4102.2900390625,0,3932.800500488281,4054.5998046875,4008.0864880036015,3991.367694486016,16.718793517587073,-13.87726286288669,70.0999062582512,3932.800500488281,4128.623316060233,3736.9776849163295,0.7164424387007706
1997-10-20,4154.83984375,4154.83984375,4157.009765625,4103.6298828125,4123.7998046875,0,3949.286486816406,4046.736201171875,4030.663927349202,4003.476742579644,27.18718476955837,-5.664373336397677,74.87405788067944,3949.286486816406,4161.749180419465,3736.8237932133466,1.1830736703917657
1997-10-21,4116.990234375,4116.990234375,4166.14013671875,4103.85986328125,4157.68994140625,0,3966.5864990234377,4038.615810546875,4043.944897660863,4011.8851493793,32.05974828156286,1.88045098719443,70.93008053240099,3966.5864990234377,4174.212671000394,3758.960327046481,-0.9109763745030032
1997-10-22,4082.699951171875,4082.699951171875,4119.5498046875,4079.8701171875,4118.669921875,0,3979.600500488281,4031.3286083984376,4049.907213585634,4017.130690252824,32.77652333281003,8.05966545631755,66.27596457801842,3979.600500488281,4181.734914729042,3777.4660862475207,-0.8328968797840841
1997-10-23,4009.77001953125,4009.77001953125,4080.1201171875,3983.179931640625,4073.419921875,0,3988.793505859375,4023.573208007813,4043.73226065419,4016.5854553845593,27.14680526963093,11.877093418980229,64.4813080645654,3988.793505859375,4177.794314944323,3799.7926967744265,-1.7863162248720088
1997-10-24,3957.4599609375,3957.4599609375,3992.39990234375,3922.5400390625,3992.39990234375,0,3992.2885009765614,4013.0964111328126,4030.459599159315,4012.2057891292216,18.25381003009352,13.152436741202886,58.31311936733766,3992.2885009765614,4175.915974606041,3808.661027347083,-1.3045650583188628
1997-10-27,3934.330078125,3934.330078125,3979.530029296875,3914.9599609375,3969.75,0,3992.7430053710937,4003.2824169921873,4015.670442077113,4006.437217943724,9.233224133389283,12.368594219640164,52.16944815242956,3992.7430053710937,4175.715552976431,3809.770457765756,-0.5844628383055217
1997-10-30,3803.239990234375,3803.239990234375,3815.239990234375,3795.659912109375,3803.090087890625,0,3987.263500976562,3991.944619140625,3982.988834101307,3991.385571446735,-8.396737345427937,8.215527906626544,40.710451316000494,3987.263500976562,4186.181545474828,3788.345456478298,-3.3319544951118885
1997-11-03,3790.820068359375,3790.820068359375,3820.3701171875,3748.889892578125,3814.75,0,3981.703002929688,3981.3416162109374,3953.424408602548,3976.528867514338,-23.104458911789607,1.9515305429433143,35.36521921464693,3981.703002929688,4196.256021665743,3767.149984193633,-0.3265616134372484
